"filename", "language", "XML", "C#", "Docker", "JSON with Comments", "TypeScript", "TypeScript JSX", "CSS", "Markdown", "JSON", "Properties", "HTML", "JavaScript", "Ignore", "YAML", "comment", "blank", "total"
"c:\Users\deltagare\aurellab\Activities\Persistence\Migrations\20230502133159_BuggfixDataContext.cs", "C#", 0, 338, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 38, 379
"c:\Users\deltagare\aurellab\Activities\Persistence\Migrations\20230508085145_PrivateActivity.Designer.cs", "C#", 0, 351, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 131, 484
"c:\Users\deltagare\aurellab\Activities\Persistence\Migrations\20230508085145_PrivateActivity.cs", "C#", 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 6, 41
"c:\Users\deltagare\aurellab\Activities\Persistence\Migrations\20230508093912_PrivateActivityVer2.Designer.cs", "C#", 0, 351, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 131, 484
"c:\Users\deltagare\aurellab\Activities\Persistence\Migrations\20230508093912_PrivateActivityVer2.cs", "C#", 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 6, 39
"c:\Users\deltagare\aurellab\Activities\Persistence\Migrations\20240330082757_UnitTestNewCategory.Designer.cs", "C#", 0, 351, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 131, 484
"c:\Users\deltagare\aurellab\Activities\Persistence\Migrations\20240330082757_UnitTestNewCategory.cs", "C#", 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 6, 23
"c:\Users\deltagare\aurellab\Activities\Persistence\Migrations\DataContextModelSnapshot.cs", "C#", 0, 349, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 131, 481
"c:\Users\deltagare\aurellab\Activities\Persistence\Persistence.csproj", "XML", 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 20
"c:\Users\deltagare\aurellab\Activities\Persistence\Seed.cs", "C#", 0, 255, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 259
"c:\Users\deltagare\aurellab\Activities\client-app\.env", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\deltagare\aurellab\Activities\client-app\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 21, 47
"c:\Users\deltagare\aurellab\Activities\client-app\package-lock.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 17754, 0, 0, 0, 0, 0, 0, 1, 17755
"c:\Users\deltagare\aurellab\Activities\client-app\package.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 69, 0, 0, 0, 0, 0, 0, 1, 70
"c:\Users\deltagare\aurellab\Activities\client-app\public\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 23, 1, 44
"c:\Users\deltagare\aurellab\Activities\client-app\public\manifest.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 1, 26
"c:\Users\deltagare\aurellab\Activities\client-app\src\app\api\agent.ts", "TypeScript", 0, 0, 0, 0, 107, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 118
"c:\Users\deltagare\aurellab\Activities\client-app\src\app\common\form\MyCheckboxInput.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 28
"c:\Users\deltagare\aurellab\Activities\client-app\src\app\common\form\MyDateInput.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 21
"c:\Users\deltagare\aurellab\Activities\client-app\src\app\common\form\MySelectInput.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 29
"c:\Users\deltagare\aurellab\Activities\client-app\src\app\common\form\MyTextArea.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 22
"c:\Users\deltagare\aurellab\Activities\client-app\src\app\common\form\MyTextInput.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 23
"c:\Users\deltagare\aurellab\Activities\client-app\src\app\common\imageUpload\PhotoUploadWidget.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 50, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 55
"c:\Users\deltagare\aurellab\Activities\client-app\src\app\common\imageUpload\PhotoWidgetCropper.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 24
"c:\Users\deltagare\aurellab\Activities\client-app\src\app\common\imageUpload\PhotoWidgetDropzone.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 33, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 40
"c:\Users\deltagare\aurellab\Activities\client-app\src\app\common\modals\modalContainer.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 14
"c:\Users\deltagare\aurellab\Activities\client-app\src\app\common\options\categoryOptions.ts", "TypeScript", 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9
"c:\Users\deltagare\aurellab\Activities\client-app\src\app\layout\App.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 44
"c:\Users\deltagare\aurellab\Activities\client-app\src\app\layout\LoadingComponent.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 15
"c:\Users\deltagare\aurellab\Activities\client-app\src\app\layout\NavBar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 33
"c:\Users\deltagare\aurellab\Activities\client-app\src\app\layout\styles.css", "CSS", 0, 0, 0, 0, 0, 0, 37, 0, 0, 0, 0, 0, 0, 0, 1, 8, 46
"c:\Users\deltagare\aurellab\Activities\client-app\src\app\models\activity.ts", "TypeScript", 0, 0, 0, 0, 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 48
"c:\Users\deltagare\aurellab\Activities\client-app\src\app\models\comment.ts", "TypeScript", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8
"c:\Users\deltagare\aurellab\Activities\client-app\src\app\models\pagination.ts", "TypeScript", 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 26
"c:\Users\deltagare\aurellab\Activities\client-app\src\app\models\profile.ts", "TypeScript", 0, 0, 0, 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 33
